node,degree,wdegree,pagerank,is_oncokb,betweenness,closeness,clustering,degree_rank,wdegree_rank,pagerank_rank,betweenness_rank,closeness_rank,clustering_rank,is_cosmic,is_tcga
MRTO4,33,28.557,0.00029953856605336403,False,0.0,0.0,0.041666666666666664,39.0,48.0,187.0,1.0,1.0,1550.0,False,False
RPSA,33,30.417,0.0003224121382564934,False,0.0,0.0,0.056818181818181816,39.0,34.0,150.0,1.0,1.0,1217.0,False,False
IMP3,33,28.958,0.0003008442557747587,False,0.0,0.0,0.022727272727272728,39.0,42.0,186.0,1.0,1.0,1954.0,False,False
RPL36,33,30.142,0.0002910198483825786,False,0.0,0.0,0.05303030303030303,39.0,36.0,208.0,1.0,1.0,1299.0,False,False
H4C4,33,28.956,0.0004473426202349093,False,0.0,0.0,0.026515151515151516,39.0,43.0,54.0,1.0,1.0,1896.0,False,False
RPS23,33,30.864,0.00030636647363917224,False,0.0,0.0,0.026515151515151516,39.0,31.0,174.0,1.0,1.0,1896.0,False,False
MRPS14,33,29.0,0.0002830658346433369,False,0.0,0.0,0.045454545454545456,39.0,41.0,230.0,1.0,1.0,1460.0,False,False
HSP90AA1,32,27.183,0.0005629419909559653,True,0.0,0.0,0.008064516129032258,46.0,54.0,21.0,1.0,1.0,2226.0,False,False
UBC,32,28.626,0.0005484497179062994,False,0.0,0.0,0.012096774193548387,46.0,46.0,26.0,1.0,1.0,2175.0,False,False
IFNG,32,25.905,0.00048542383178290163,False,0.0,0.0,0.020161290322580645,46.0,74.0,37.0,1.0,1.0,2021.0,False,False
CALM3,32,28.601,0.0006894975008524426,False,0.0,0.0,0.014112903225806451,46.0,47.0,6.0,1.0,1.0,2139.0,False,False
EFTUD2,32,27.938,0.00034955529158295584,False,0.0,0.0,0.018145161290322582,46.0,51.0,115.0,1.0,1.0,2071.0,False,False
RPL7A,32,28.747,0.00027621011383174567,False,0.0,0.0,0.04233870967741935,46.0,45.0,255.0,1.0,1.0,1547.0,False,False
